,Date,Issuer,Symbol,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg
1036,6/26/15,Green Plains Partners LP  ,GPP,Barclays/ BofA Merrill Lynch/ Credit Suisse/ Macquarie Capital/ RBC Capital Markets,15.0,15.23,15.0,0.0
1050,7/17/15,Ooma ,OOMA,Credit Suisse/ BofA Merrill Lynch,13.0,12.1,10.95,-0.15769230769230774
1063,8/5/15,Amplify Snack Brands ,BETR,Goldman Sachs/ Jefferies/ Credit Suisse,18.0,17.0,16.14,-0.1033333333333333
1064,8/5/15,Sunrun ,RUN,Credit Suisse/ Goldman Sachs/ Morgan Stanley,14.0,13.06,10.77,-0.23071428571428573
1066,8/6/15,Aimmune Therapeutics ,AIMT,BofA Merrill Lynch/ Credit Suisse/ Piper Jaffray,16.0,17.5,24.1,0.5062500000000001
1067,8/6/15,Planet Fitness  ,PLNT,J.P. Morgan Securities Merrill Lynch/ Jefferies/ Credit Suisse Securities,16.0,14.5,16.0,0.0
1079,10/1/15,Edge Therapeutics ,EDGE,Leerink Partners/ Credit Suisse,11.0,11.6,12.94,0.1763636363636363
1081,10/1/15,Performance Food Group  ,PFGC,Credit Suisse/ Barclays/ Wells Fargo Securities/ Morgan Stanley,19.0,19.0,19.2,0.010526315789473648
1098,10/29/15,MyoKardia ,MYOK,Credit Suisse/ Cowen and Company,10.0,11.08,10.53,0.052999999999999936
1112,12/18/15,Yirendai Ltd. ,YRD,Morgan Stanley/ Credit Suisse/ China Renaissance,10.0,10.0,9.1,-0.09000000000000004
